501,210,78,55,55,36,36,21,10,,,
502,171,78,78,78,45,21,21,10,,,
504,300,78,78,36,6,6,,,,,
505,120,78,55,55,55,55,36,36,15,,
506,120,120,78,55,55,36,36,6,,,
507,136,136,105,36,28,28,28,10,,,
508,120,78,78,55,45,45,45,21,21,,
509,120,120,78,78,55,55,3,,,,
510,171,78,45,36,36,36,36,36,36,,
511,210,120,55,55,55,10,6,,,,
512,120,120,120,55,36,36,15,10,,,
513,300,78,36,36,36,21,6,,,,
514,120,105,78,55,36,36,28,28,28,,
515,120,120,55,55,36,36,36,36,21,,
516,300,78,78,36,21,3,,,,,
517,231,105,105,28,21,21,6,,,,
519,210,105,55,55,28,28,28,10,,,
520,120,120,78,78,78,21,15,10,,,
521,171,120,78,55,45,21,21,10,,,
522,171,171,171,6,3,,,,,,
523,300,120,55,36,6,6,,,,,
524,136,136,36,36,36,36,36,36,36,,
525,231,78,78,36,36,28,28,10,,,
526,171,171,78,45,45,10,6,,,,
527,105,105,105,45,45,45,28,28,21,,
528,171,78,78,78,45,36,36,6,,,
530,231,171,45,28,28,21,6,,,,
531,171,55,55,55,45,45,45,45,15,,
532,120,78,78,55,55,55,55,21,15,,
533,300,78,78,36,21,10,10,,,,
534,171,120,120,45,21,21,21,15,,,
535,78,78,78,78,78,45,45,45,10,,
536,136,136,45,45,45,36,36,36,21,,
537,171,78,78,45,36,36,36,36,21,,
538,120,78,55,55,55,55,55,55,10,,
539,120,120,120,78,55,21,15,10,,,
540,171,105,45,45,45,45,28,28,28,,
541,120,105,78,78,55,28,28,28,21,,
542,120,120,78,55,55,36,36,21,21,,
543,231,210,28,28,21,15,10,,,,
544,231,120,55,36,36,28,28,10,,,
545,136,136,78,78,78,36,3,,,,
546,171,78,55,55,55,45,36,36,15,,
547,171,120,78,55,45,36,36,6,,,
548,210,55,55,45,45,45,36,36,21,,
549,210,210,120,6,3,,,,,,
550,171,120,78,78,55,45,3,,,,
551,105,105,105,55,55,55,28,28,15,,
552,406,105,28,10,3,,,,,,
553,210,136,136,36,15,10,10,,,,
554,120,78,78,78,55,45,45,45,10,,
555,171,105,78,45,36,36,28,28,28,,
556,171,120,55,45,36,36,36,36,21,,
557,231,45,45,45,45,45,45,28,28,,
558,171,171,171,21,21,3,,,,,
559,210,210,78,21,15,15,10,,,,
560,120,120,105,55,55,28,28,28,21,,
561,136,136,120,55,36,36,36,6,,,
562,171,171,78,45,45,21,21,10,,,
563,231,105,105,78,28,10,6,,,,
564,136,136,120,78,55,36,3,,,,
566,78,78,55,55,55,55,55,45,45,45,
567,171,120,78,78,55,45,10,10,,,
568,171,120,55,45,45,45,45,21,21,,
569,120,78,78,78,78,55,36,36,10,,
571,231,120,78,55,28,28,21,10,,,
572,231,78,45,45,45,36,36,28,28,,
573,120,120,78,55,55,45,45,45,10,,
574,171,120,78,78,55,45,21,6,,,
575,171,171,171,21,21,10,10,,,,
576,300,171,45,36,21,3,,,,,
577,300,210,36,15,10,6,,,,,
578,136,136,78,78,36,36,36,21,21,,
579,171,78,55,55,55,55,55,45,10,,
580,171,120,120,78,45,21,15,10,,,
581,78,78,78,55,55,55,55,55,36,36,
582,171,105,78,78,45,28,28,28,21,,
583,171,120,78,55,45,36,36,21,21,,
584,231,120,120,28,28,21,21,15,,,
585,120,55,55,55,55,55,55,45,45,45,
586,171,120,120,55,55,45,10,10,,,
587,210,120,78,78,55,21,15,10,,,
588,136,136,120,78,55,36,21,6,,,
590,210,78,78,55,55,36,36,21,21,,
591,120,120,78,78,55,55,55,15,15,,
592,120,120,120,78,78,55,15,6,,,
593,171,120,120,55,55,45,21,6,,,
594,300,120,120,36,15,3,,,,,
595,300,78,78,36,36,36,21,10,,,
596,120,78,78,78,78,78,55,21,10,,
597,78,78,78,78,78,45,45,45,36,36,
598,300,78,78,55,36,21,15,15,,,
599,231,78,78,45,45,45,28,28,21,,
600,120,120,105,78,78,28,28,28,15,,
601,171,120,105,55,45,28,28,28,21,,
602,210,210,120,21,21,10,10,,,,
603,210,78,78,78,36,36,36,36,15,,
604,171,171,171,78,10,3,,,,,
605,300,120,78,55,36,10,6,,,,
606,210,120,120,55,55,21,15,10,,,
607,210,120,55,45,45,45,36,36,15,,
608,78,78,78,78,55,55,55,55,55,21,
609,136,136,78,78,45,45,45,36,10,,
610,171,171,120,55,45,45,3,,,,
611,120,120,120,120,55,55,15,6,,,
612,406,105,28,21,21,21,10,,,,
613,171,78,78,78,78,55,45,15,15,,
614,300,120,55,36,36,36,21,10,,,
615,120,120,78,78,78,55,55,21,10,,
616,120,78,78,78,55,45,45,45,36,36,
617,210,171,78,55,55,45,3,,,,
618,465,120,15,15,3,,,,,,
619,120,120,120,105,55,28,28,28,15,,
620,120,120,55,55,45,45,45,45,45,45,
621,210,78,78,55,55,45,45,45,10,,
622,171,136,136,78,45,36,10,10,,,
623,231,78,78,55,55,55,28,28,15,,
624,136,136,78,78,78,36,36,36,10,,
625,231,105,105,78,36,36,28,6,,,
626,171,55,55,55,55,55,45,45,45,45,
627,120,78,78,55,55,55,55,55,55,21,
628,210,171,78,78,45,21,15,10,,,
629,171,120,78,78,55,45,36,36,10,,
630,210,78,78,78,78,36,36,21,15,,
631,210,210,120,78,10,3,,,,,
632,171,120,78,78,55,55,45,15,15,,
633,171,120,120,78,78,45,15,6,,,
634,171,171,120,55,45,45,21,6,,,
635,120,120,78,55,55,45,45,45,36,36,
636,210,78,78,78,55,55,36,36,10,,
637,171,78,78,78,78,78,45,21,10,,
638,406,105,36,36,28,21,6,,,,
639,210,78,78,78,55,55,55,15,15,,
640,210,120,55,55,55,45,45,45,10,,
641,171,78,55,55,55,55,55,45,36,36,
642,465,55,55,55,6,6,,,,,
643,120,78,78,78,78,55,45,45,45,21,
645,210,120,120,120,36,36,3,,,,
